RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,NEW YORK,07,578
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,NEW YORK,08,577
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,RALEIGH,01,400
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,CINCINNATI,01,431
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,CINCINNATI,02,431
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,COLUMBUS,01,506
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,COLUMBUS,02,254
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,DAYTON,01,70
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,PHILADELPHIE,01,241
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,PROVIDENCE,01,283
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,HOUSTON,01,576
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,WASHINGTON (D C),01,484
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,NEW YORK,WASHINGTON (D C),02,483
