RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ESPAGNE,ESPAGNE,GRANADA,GRANADA,01,456
ESPAGNE,ESPAGNE,GRANADA,GRANADA,02,456
ESPAGNE,ESPAGNE,GRANADA,GRANOLLERS,01,509
ESPAGNE,ESPAGNE,GRANADA,GRANOLLERS,02,507
ESPAGNE,ESPAGNE,GRANADA,GRANOLLERS,03,484
ESPAGNE,ESPAGNE,GRANADA,GUISSONA,01,525
ESPAGNE,ESPAGNE,GRANADA,HUELVA,01,509
ESPAGNE,ESPAGNE,GRANADA,IBIZA,01,276
ESPAGNE,ESPAGNE,GRANADA,LA CORUNA,01,574
ESPAGNE,ESPAGNE,GRANADA,LA CORUNA,02,149
ESPAGNE,ESPAGNE,GRANADA,LANZAROTE,01,195
ESPAGNE,ESPAGNE,GRANADA,LAS PALMAS GRAND CANARIAS,01,454
ESPAGNE,ESPAGNE,GRANADA,LERIDA,01,560
ESPAGNE,ESPAGNE,GRANADA,LERIDA,02,572
ESPAGNE,ESPAGNE,GRANADA,LERIDA,03,566
ESPAGNE,ESPAGNE,GRANADA,LERIDA,04,367
ESPAGNE,ESPAGNE,GRANADA,MOLLERUSA,01,376
ESPAGNE,ESPAGNE,GRANADA,LOGRONO,01,131
ESPAGNE,ESPAGNE,GRANADA,MADRID,01,548
ESPAGNE,ESPAGNE,GRANADA,MADRID,02,550
ESPAGNE,ESPAGNE,GRANADA,MADRID,03,535
ESPAGNE,ESPAGNE,GRANADA,MADRID,04,541
ESPAGNE,ESPAGNE,GRANADA,MADRID,05,425
ESPAGNE,ESPAGNE,GRANADA,MADRID,06,426
ESPAGNE,ESPAGNE,GRANADA,FUENGIROLA (ANDALOUSIE),01,351
ESPAGNE,ESPAGNE,GRANADA,FUENGIROLA (ANDALOUSIE),02,350
ESPAGNE,ESPAGNE,GRANADA,MANRESA,01,337
ESPAGNE,ESPAGNE,GRANADA,MARBELLA,01,283
