RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ESPAGNE,ESPAGNE,ALBACETE,ALBACETE,01,445
ESPAGNE,ESPAGNE,ALBACETE,ALGESIRAS,01,63
ESPAGNE,ESPAGNE,ALBACETE,ALICANTE,01,538
ESPAGNE,ESPAGNE,ALBACETE,ALMERIA,01,513
ESPAGNE,ESPAGNE,ALBACETE,ALMERIA,02,496
ESPAGNE,ESPAGNE,ALBACETE,CUEVAS,01,396
ESPAGNE,ESPAGNE,ALBACETE,BARCELONA,01,566
ESPAGNE,ESPAGNE,ALBACETE,BARCELONA,02,565
ESPAGNE,ESPAGNE,ALBACETE,BARCELONA,03,565
ESPAGNE,ESPAGNE,ALBACETE,BILBAO,01,579
ESPAGNE,ESPAGNE,ALBACETE,BILBAO,02,579
ESPAGNE,ESPAGNE,ALBACETE,BILBAO,03,576
ESPAGNE,ESPAGNE,ALBACETE,BILBAO,04,255
ESPAGNE,ESPAGNE,ALBACETE,BURGOS,01,157
ESPAGNE,ESPAGNE,ALBACETE,PUERTO REAL (ANDALOUSIE),01,163
ESPAGNE,ESPAGNE,ALBACETE,CALPE (BENIDORM),01,182
ESPAGNE,ESPAGNE,ALBACETE,ELCHE,01,274
ESPAGNE,ESPAGNE,ALBACETE,FIGUERES,01,591
ESPAGNE,ESPAGNE,ALBACETE,FIGUERES,02,70
ESPAGNE,ESPAGNE,ALBACETE,FUERTEVENTURA,01,366
ESPAGNE,ESPAGNE,ALBACETE,GANDIA,01,290
ESPAGNE,ESPAGNE,ALBACETE,GIRONA,01,523
ESPAGNE,ESPAGNE,ALBACETE,GIRONA,02,523
