RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ESPAGNE,ESPAGNE,MATARO,MATARO,01,591
ESPAGNE,ESPAGNE,MATARO,MATARO,02,588
ESPAGNE,ESPAGNE,MATARO,MATARO,03,132
ESPAGNE,ESPAGNE,MURCIA,MURCIA,01,573
ESPAGNE,ESPAGNE,MURCIA,MURCIA,02,569
ESPAGNE,ESPAGNE,MURCIA,MURCIA,03,503
ESPAGNE,ESPAGNE,OVIEDO,OVIEDO,01,478
ESPAGNE,ESPAGNE,OVIEDO,OVIEDO,02,175
ESPAGNE,ESPAGNE,PALMA DE MALLORCA,PALMA DE MALLORCA,01,548
ESPAGNE,ESPAGNE,PALMA DE MALLORCA,PALMA DE MALLORCA,02,552
ESPAGNE,ESPAGNE,PALMA DE MALLORCA,PALMA DE MALLORCA,03,559
ESPAGNE,ESPAGNE,PALMA DE MALLORCA,PALMA DE MALLORCA,04,185
ESPAGNE,ESPAGNE,PAMPLONA,PAMPLONA,01,414
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,01,558
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,02,557
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,03,559
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,04,557
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,05,559
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,06,557
ESPAGNE,ESPAGNE,ROQUETAS DE MAR,ROQUETAS DE MAR,07,324
ESPAGNE,ESPAGNE,SALAMANCA,SALAMANCA,01,146
ESPAGNE,ESPAGNE,SANTANDER,SANTANDER,01,249
ESPAGNE,ESPAGNE,SEVILLA,SEVILLA,01,448
ESPAGNE,ESPAGNE,SALOU (CATALOGNE),SALOU,01,422
ESPAGNE,ESPAGNE,SALOU (CATALOGNE),SALOU,02,423
ESPAGNE,ESPAGNE,SALOU (CATALOGNE),SALOU,03,422
ESPAGNE,ESPAGNE,TENERIFE,TENERIFE,01,540
ESPAGNE,ESPAGNE,TENERIFE,TENERIFE,02,57
