RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABENGOUROU,01,212
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADZOPE,01,46
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOBO GARE,01,491
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOBO GARE,02,472
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOBO GARE,03,229
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOISSO,01,99
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,01,513
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,02,500
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,03,493
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,04,522
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,05,431
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 2,01,345
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 3,01,284
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 3,02,287
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ANYAMA,01,83
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,BINGERVILLE,01,155
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,COCODY,01,124
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,DABOU,01,135
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,GONZAGUEVILLE,01,2
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,GRAND BASSAM,01,127
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,JACQUEVILLE,01,29
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,KOUMASSI,01,513
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,KOUMASSI,02,512
