RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,ATLANTA,01,524
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,ATLANTA,02,184
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,BOSTON,01,118
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,SAN FRANCISCO,01,351
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,DENVER,01,110
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,DETROIT,01,382
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,CHICAGO,01,369
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,LOUISVILLE,01,188
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,LOS ANGELES,01,291
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,BALTIMORE,01,260
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,MEMPHIS,01,465
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,MINNEAPOLIS,01,74
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,JERSEY CITY,01,212
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,BRONX,01,581
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,BRONX,02,581
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,BROOKLYN,01,530
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,BROOKLYN,02,126
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,NEW YORK,01,579
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,NEW YORK,02,579
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,NEW YORK,03,577
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,NEW YORK,04,577
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,NEW YORK,05,578
ETATS UNIS D'AMERIQUE,ETATS UNIS D'AMERIQUE,ATLANTA,NEW YORK,06,578
