RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ESPAGNE,ESPAGNE,TENERIFE NORTE,TENERIFE NORTE,01,119
ESPAGNE,ESPAGNE,TENERIFE NORTE,TERRASSA,01,518
ESPAGNE,ESPAGNE,TENERIFE NORTE,TERRASSA,02,520
ESPAGNE,ESPAGNE,TENERIFE NORTE,TERRASSA,03,179
ESPAGNE,ESPAGNE,TENERIFE NORTE,VALENCIA,01,552
ESPAGNE,ESPAGNE,TENERIFE NORTE,VALENCIA,02,550
ESPAGNE,ESPAGNE,TENERIFE NORTE,VALENCIA,03,414
ESPAGNE,ESPAGNE,TENERIFE NORTE,VIC,01,271
ESPAGNE,ESPAGNE,TENERIFE NORTE,VICTORIA,01,390
ESPAGNE,ESPAGNE,TENERIFE NORTE,VIGO,01,481
ESPAGNE,ESPAGNE,TENERIFE NORTE,VIGO,02,132
ESPAGNE,ESPAGNE,TENERIFE NORTE,ZARAGOZA,01,542
ESPAGNE,ESPAGNE,TENERIFE NORTE,ZARAGOZA,02,545
ESPAGNE,ESPAGNE,TENERIFE NORTE,ZARAGOZA,03,543
ESPAGNE,ESPAGNE,TENERIFE NORTE,ZARAGOZA,04,328
