Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,01,599,ECOLE BAMBOL SOW CLASSE CM2 A
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,02,599,ECOLE BAMBOL SOW CLASSE CM1
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,03,600,ECOLE BAMBOL SOW CLASSE CP
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,04,600,ECOLE BAMBOL SOW CLASSE CIA
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,05,599,ECOLE BAMBOL SOW CLASSE CIB
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,06,599,ECOLE BAMBOL SOW CLASSE CE 1
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,07,600,ECOLE BAMBOL SOW CLASSE CE 2
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,08,598,GRANDE SALLE CASE DES TOUT-PETITS
LOUGA,LINGUERE,BARKEDJI,BOUBACK,01,109,SALLE DE CLASSE
LOUGA,LINGUERE,BARKEDJI,DJABAL,01,302,CLASSE ECOLE ELEMENTAIRE
LOUGA,LINGUERE,BARKEDJI,DJAGALY,01,550,CLASSE CM2
LOUGA,LINGUERE,BARKEDJI,DJAGALY,02,550,CLASSE CI
LOUGA,LINGUERE,BARKEDJI,DJAGALY,03,550,CLASSE CE2
LOUGA,LINGUERE,BARKEDJI,DJIMBANANE AMADY AMATH,01,320,ECOLE CLASSE CI
LOUGA,LINGUERE,BARKEDJI,GASSET OUOLOFF,01,180,ECOLE CLASSE CI
LOUGA,LINGUERE,BARKEDJI,LOUMBEL LANA ECOLE ELEMENTAIRE,01,276,ECOLE ELEMENTAIRE CLASSE
LOUGA,LINGUERE,BARKEDJI,MBOUL DJOLOFF,01,113,ABRI PROVISOIRE
LOUGA,LINGUERE,BARKEDJI,MOGUERE,01,262,CLASSE ECOLE ELEMENTAIRE
LOUGA,LINGUERE,BARKEDJI,NDILLA,01,301,CLASSE CI
LOUGA,LINGUERE,BARKEDJI,SAMMALY,01,332,ECOLE CLASSE CE2
LOUGA,LINGUERE,BARKEDJI,TORDIOL 1,01,425,CLASSE CP
LOUGA,LINGUERE,BARKEDJI,TOUBA LINGUERE,01,227,CLASSE CE 2
LOUGA,LINGUERE,BARKEDJI,TOUNG PEULH,01,440,ECOLE CLASSE CI
