Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE UNESCO HAMO 3,03,543,CLASSE CP B
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE UNESCO HAMO 3,04,359,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Y UNITE 3,01,555,CLASSE CM2 B
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Y UNITE 3,02,567,CLASSE CE2 B
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Y UNITE 3,03,559,CLASSE CIA
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Y UNITE 3,04,558,CLASSE CP B
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Y UNITE 3,05,553,CLASSE CM1 A
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Y UNITE 3,06,558,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Z UNITE 4,01,552,CLASSE CP A
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Z UNITE 4,02,554,CLASSE CE2 A
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Z UNITE 4,03,565,CLASSE CM2 B
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Z UNITE 4,04,563,CLASSE CM1 B
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Z UNITE 4,05,564,CLASE CE1 A
DAKAR,GUEDIAWAYE,GOLF SUD,ECOLE Z UNITE 4,06,536,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,01,580,FOYER SOCIO EDUCATIF
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,02,585,SECONDE SA BLOC ONU
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,03,582,PREMIERE S1 BLOC ONU
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,04,584,PREMIERE L1H BLOC OUA
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,05,582,SECONDE SC BLOC OUA
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,06,583,TERMINALE L1A BLOC CDEAO
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,07,584,TERMINALE L'1B BLOC CDEAO
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,08,584,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,09,583,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,GOLF SUD,LYCEE PARCELLES ASSAINIES GUEDIAWAY,10,582,SALLE DE CLASSE
