Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
THIES,TIVAOUANE,THILMAKHA,AFFIA,01,154,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,AINOUMANE,01,300,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,DIGNE,01,371,SALLE CLASSE
THIES,TIVAOUANE,THILMAKHA,KEUR MADIAMA,01,580,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,KEUR MADIAMA,02,23,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,KEUR MANDOUMBE,01,220,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,KEUR MANDOUMBE,02,219,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,KEUR MANIAO,01,536,SALLE CLASSE
THIES,TIVAOUANE,THILMAKHA,LONGHOR,01,187,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,NDIALBA 1,01,343,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,NDIAYENE WADIA,01,312,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,NDONGO,01,318,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,NDONGO,02,319,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,NDONGO,03,317,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,NDOUCOUMANE NDIAYE,01,499,SALLE CLASSE
THIES,TIVAOUANE,THILMAKHA,NGUEBEUL,01,197,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,THILMAKHA,01,535,SALLE CLASSE 1
THIES,TIVAOUANE,THILMAKHA,THILMAKHA,02,535,SALLE CLASSE 2
THIES,TIVAOUANE,THILMAKHA,THILMAKHA,03,534,SALLE CLASSE 3
THIES,TIVAOUANE,THILMAKHA,YEO,01,244,ABRI PROVISOIRE
THIES,TIVAOUANE,THILMAKHA,YOLMA,01,185,ABRI PROVISOIRE
