Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
THIES,TIVAOUANE,MBAYENE,DIEMOUL OUOLOF,01,385,SALLE DE CLASSE
THIES,TIVAOUANE,MBAYENE,GOUYE DAGUE,01,282,SALLE DE CLASSE 2
THIES,TIVAOUANE,MBAYENE,KERY MBAKHOL,01,177,ABRI PROVISOIRE
THIES,TIVAOUANE,MBAYENE,MBAYENE,01,483,SALLE DE CLASSE 1
THIES,TIVAOUANE,MBAYENE,MBAYENE,02,483,SALLE DE CLASSE 2
THIES,TIVAOUANE,MBAYENE,NDIOURKY,01,133,ABRI PROVISOIRE
THIES,TIVAOUANE,MBAYENE,NGALLAP 1,01,361,SALLE DE CLASSE
THIES,TIVAOUANE,MBAYENE,NGALLAP 1,02,362,SALLE DE CLASSE
THIES,TIVAOUANE,MBAYENE,NIANDOUL,01,434,SALLE DE CLASSE
THIES,TIVAOUANE,MBAYENE,PARIS NDIAYE,01,202,SALLE DE CLASSE
THIES,TIVAOUANE,MBAYENE,SANTHIOU THIABALA,01,390,ABRI PROVISOIRE
THIES,TIVAOUANE,MBAYENE,THIARRE 1,01,103,ABRI PROVISOIRE
THIES,TIVAOUANE,MBAYENE,YOYE,01,334,ABRI PROVISOIRE
