Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,03,567,SALLE 6 A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,04,566,SALLE 9 A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,05,567,SALLE 2 B ANNEXE
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,06,568,SALLE 5 B ANNEXE
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,07,567,SALLE 6 B ANNEXE
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,08,567,SALLE 7 B ANNEXE
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,09,566,SALLE 8
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE PRIVEE SEYDI DJIAMIL,10,570,SALLE 10
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,01,591,CLASSE CI A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,02,594,CLASSE CI B
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,03,595,CLASSE CI C
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,04,593,CLASSE CP A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,05,596,CLASSE CP B
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,06,592,CLASSE CP C
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,07,595,CLASSE CE1 A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,08,594,CLASSE CE1 B
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,09,593,CLASSE CE1 C
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,10,594,CLASSE CM1 A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,11,593,CLASSE CM1 B
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,12,593,CLASSE CM1 C
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,13,592,CLASSE CM2 A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,14,596,CLASSE CM2 B
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,15,595,CLASSE CM2 C
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,16,592,CLASSE CE2 A
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,17,594,CLASSE CE2 B
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,18,593,CLASSE CE2 C
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,19,593,ABRI PROVISOIRE
DAKAR,KEUR MASSAR,YEUMBEUL NORD,ECOLE YEUMBEUL 3 SOTRAC,20,595,ABRI PROVISOIRE
