Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
THIES,TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,01,163,CLASSE CE1
THIES,TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,02,166,CLASSE CE2
THIES,TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,03,165,CLASSE CM2
THIES,TIVAOUANE,MBORO,ECOLE DES HLM,01,575,CLASSE CI
THIES,TIVAOUANE,MBORO,ECOLE DES HLM,02,571,CLASSE CP
THIES,TIVAOUANE,MBORO,ECOLE DES HLM,03,569,CLASSE CE1
THIES,TIVAOUANE,MBORO,ECOLE DES HLM,04,565,CLASSE CE2
THIES,TIVAOUANE,MBORO,ECOLE DES HLM,05,527,ECOLE NIANI SALLE 3
THIES,TIVAOUANE,MBORO,ECOLE DES HLM,06,527,ECOLE NIANI SALLE 5
THIES,TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,01,564,CLASSE CE1 CP
THIES,TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,02,562,CLASSE CM2
THIES,TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,03,563,CLASSE CE2 CMI
THIES,TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,04,561,SALLE CM1
THIES,TIVAOUANE,MBORO,MBORO,01,417,CLASSE CE1
THIES,TIVAOUANE,MBORO,MBORO,02,416,CLASSE CE2
THIES,TIVAOUANE,MBORO,MBORO,03,417,CLASSE CI
THIES,TIVAOUANE,MBORO,MBORO,04,417,CLASSE CP
THIES,TIVAOUANE,MBORO,MBORO,05,418,CLASSE DE CM1A
THIES,TIVAOUANE,MBORO,MBORO,06,416,CLASSE CE1A
THIES,TIVAOUANE,MBORO,MBORO,07,418,CLASSE CM2B
THIES,TIVAOUANE,MBORO,MBORO,08,417,CLASSE CE2A
THIES,TIVAOUANE,MBORO,MBORO,09,417,CLASSE CE2A
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,01,570,CLASSE TLI
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,02,574,SALLE 6
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,03,569,SALLE 17
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,04,574,SALLE 19
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,05,574,LYCEE T. ICS SALLE 9
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,06,569,LYCEE T. ICS SALLE 13
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,07,574,LYCEE T. ICS SALLE 26
THIES,TIVAOUANE,MBORO,MBORO MBAYE MBAYE,08,570,LYCEE T. ICS SALLE DE CLASSE
THIES,TIVAOUANE,MBORO,MERINA GUEYE,01,375,ECOLE MERINA GUEYE
THIES,TIVAOUANE,MBORO,MUTUELLE,01,580,SALLE PRINCIPALE
THIES,TIVAOUANE,MBORO,MUTUELLE,02,577,ECOLE NGAYE NGAYE
THIES,TIVAOUANE,MBORO,MUTUELLE,03,577,ECOLE NGAYE NGAYE
THIES,TIVAOUANE,MBORO,MUTUELLE,04,565,ECOLE NGAYE NGAYE
THIES,TIVAOUANE,MBORO,MUTUELLE,05,168,ABRI PROVISOIRE
