Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA B,06,549,SALLE DIOLOF
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA B,07,542,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA C,01,330,CLASSE CM2 A
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA C,02,330,CLASSE CM1 A
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA C,03,333,CLASSE CM1 B
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA C,04,331,CLASSE CE2 B
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA C,05,336,CLASSE CE1 B
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KHALI MADIAKHATE KALA C,06,335,CLASSE CP A
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,01,589,CLASSE 05
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,02,597,CLASSE 10
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,03,581,CLASSE 08
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,04,584,CLASSE 07
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,05,585,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,06,589,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,07,575,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,08,580,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,09,583,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE PRIMAIRE DHL,10,396,SALLE DE CLASSE
