Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DIOURBEL,MBACKE,DAROU NAHIM,DAROU MBACKE,01,141,ABRI PROVISOIRE
DIOURBEL,MBACKE,DAROU NAHIM,DAROU NAHIM,01,503,CLASSE CP
DIOURBEL,MBACKE,DAROU NAHIM,DAROU NAHIM,02,501,ECOLE S. ALIOU MBACKE CM1
DIOURBEL,MBACKE,DAROU NAHIM,DAROU NAHIM,03,324,CLASSE CI
DIOURBEL,MBACKE,DAROU NAHIM,ECOLE THIALLE,01,144,ABRI PROVISOIRE
DIOURBEL,MBACKE,DAROU NAHIM,GOWANE FAYE,01,67,CLASSE CM2
DIOURBEL,MBACKE,DAROU NAHIM,MBAMBARY,01,85,ABRI PROVISOIRE
DIOURBEL,MBACKE,DAROU NAHIM,THIECKENE,01,115,ABRI PROVISOIRE
