Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,13,598,CLASSE CE2 C
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,14,592,CLASSE CE1 A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,15,594,CLASSE CE1 B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,16,589,CLASSE CM2 B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,17,598,CLASSE CM2 C
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,18,598,CLASSE CM1 C
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,19,598,CEM KEUR MASSAR VILLAGE S1
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,20,599,CEM KEUR MASSAR VILLAGE S2
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,21,599,CEM KEUR MASSAR VILLAGE S3
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,22,593,CEM KEUR MASSAR VILLAGE S4
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,23,597,CEM KEUR MASSAR VILLAGE S5
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,24,598,CEM KEUR MASSAR VILLAGE S6
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,25,486,ABRI PROVISOIRE
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,26,484,ABRI PROVISOIRE
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,01,442,CLASSE CI A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,02,444,CLASSE CI B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,03,440,CLASSE CP A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,04,439,CLASSE CP B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,05,446,CLASSE CE1 A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,06,439,CLASSE CE1 B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,07,444,CLASSE CE2 A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,08,445,CLASSE CE2 B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,09,446,SALLE BUREAU DIRECTEUR
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,10,444,CLASSE CM1A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,11,438,CLASSE CM1 B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,12,449,CLASSE CM2 A
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,13,447,CLASSE CM2 B
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,14,450,BUREAU BV 14
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,15,447,ANNEXE ECOLE PLLES U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,16,442,ANNEXE ECOLE PLLES U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,17,448,ANNEXE ECOLE PLLES U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,18,446,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,19,442,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,20,447,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,21,448,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,22,445,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,23,444,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,24,446,ANNEXE ECOLE PA U9
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,ECOLE PLLES ASSAINIES UNITE 11,25,439,ANNEXE ECOLE PA U9
