Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,BOHE BALEDJIE,01,262,CLASSE CP
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,BOKILOTIE,01,82,ABRI PROVISOIRE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,BOULEL,01,75,ABRI PROVISOIRE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,C E M KOUSSANAR,01,550,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,C E M KOUSSANAR,02,547,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,DAWADY MEISSA PATHE,01,569,CLASSE CI
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,DAWADY MEISSA PATHE,02,222,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,DIAREL ASSANE,01,42,ABRI PROVISOIRE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE 2 KOUSSANAR,01,392,CLASSE CE2
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE 2 KOUSSANAR,02,393,CLASSE CM2
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE 4 KOUSSANAR ELEVAGE,01,504,CLASSE CP
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE 4 KOUSSANAR ELEVAGE,02,503,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE KOUMAN SANE,01,521,CLASSE CI
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE KOUMAN SANE,02,522,CLASSE CE2B
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE KOUMAN SANE,03,520,CLASSECPB
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE MADINA TINGOLY,01,118,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE MBOUL,01,132,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE SINTHIOU DAVADY,01,112,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,ECOLE SINTHIOU PAGNATE,01,155,CLASSE CI
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KALBIROM,01,271,CLASSE CE1
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOLOMBA,01,138,CLASSE CE1
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUTHIA FARINDALA MANDINGUE,01,207,CLASSE CE2
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUTHIAKOTO NDENE,01,163,CLASSE CP
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,MAGASIN CEREALIER KOUSSANAR,01,285,MAGASIN
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,NGALLA BAWDE,01,49,ABRI PROVISOIRE
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,PAGNATE DEMBA DJIBEL,01,191,ABRI PROVISOIRE
