Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,LINGUERE,KAMBE,BELEL GUELOKY,01,203,ECOLE BELEL GUELOKY
LOUGA,LINGUERE,KAMBE,BELIHEL,01,411,CASE DE SANTE BELIHEL
LOUGA,LINGUERE,KAMBE,DAGA BELIHEL,01,106,ECOLE ELEMENTAIRE
LOUGA,LINGUERE,KAMBE,GOULOUM,01,306,ECOLE GOULOUM
LOUGA,LINGUERE,KAMBE,GOULOUM TEUGUE,01,149,ECOLE ELEMENTAIRE
LOUGA,LINGUERE,KAMBE,KAMBE,01,518,ECOLE KAMBE
LOUGA,LINGUERE,KAMBE,LOUYE,01,264,ECOLE LOUYE
LOUGA,LINGUERE,KAMBE,MALEME,01,110,ABRI PROVISOIRE
LOUGA,LINGUERE,KAMBE,MBAYENE THIASDE,01,361,ECOLE MBAYENE THIASDE
LOUGA,LINGUERE,KAMBE,MBETHIO PEULH 1,01,280,ECOLE MBETHIO PEULLH 1
LOUGA,LINGUERE,KAMBE,MBEYENE BISNABE,01,127,ECOLE MBEYENE BISNABE
LOUGA,LINGUERE,KAMBE,MOUYE,01,261,ECOLE MOUYE
LOUGA,LINGUERE,KAMBE,NAVEL OUROURBE,01,212,CASE DE SANTE NAVEL OUROURBE
LOUGA,LINGUERE,KAMBE,NDIAO,01,130,ECOLE NDIAO
LOUGA,LINGUERE,KAMBE,NDIARNO,01,171,ECOLE NDIARNO
LOUGA,LINGUERE,KAMBE,NDOTHIE,01,442,ECOLE NDOTHIE
LOUGA,LINGUERE,KAMBE,NGOLLO MBELOGNE 1,01,256,ECOLE NGOLLO MBELOGNE 1
LOUGA,LINGUERE,KAMBE,NGOLLO NDIABA,01,111,ABRI PROVISOIRE PLACE PUBLIQUE
LOUGA,LINGUERE,KAMBE,ROTTO ERY,01,302,CLASSE ROTTO ERY
LOUGA,LINGUERE,KAMBE,THIANKHE,01,139,ECOLE ELEMENTAIRE
LOUGA,LINGUERE,KAMBE,THICOGNE,01,253,ECOLE THICOGNE
