Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KAFFRINE,KOUNGHEUL,IDA MOURIDE,DAROU OUOLOF,01,571,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,DIOUNTO NGUEYENE,01,248,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,DOUBA LAMPOUR,01,389,ECOLE SALLE 1
KAFFRINE,KOUNGHEUL,IDA MOURIDE,DOUBA LAMPOUR,02,390,CP ECOLE ELEMENTAIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,FASS DIEBEL,01,453,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,HAMDALAYE THIAMENE,01,128,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,HARAFA MBAYENE,01,289,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,IDA MOURIDE,01,543,ECOLE SALLE 1
KAFFRINE,KOUNGHEUL,IDA MOURIDE,IDA MOURIDE,02,533,MAISON COMMUNAUTAIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,IDA MOURIDE,03,415,ECOLE SALLE 3
KAFFRINE,KOUNGHEUL,IDA MOURIDE,IDA NDAVENE,01,473,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,KEUR NGAYE,01,587,ECOLE SALLE 1
KAFFRINE,KOUNGHEUL,IDA MOURIDE,KEUR NGAYE,02,69,ECOLE SALLE 2
KAFFRINE,KOUNGHEUL,IDA MOURIDE,KHOURDANE,01,382,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,MISSIRAH OMAR SARR,01,140,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,NDOUNE,01,499,SALLE 2
KAFFRINE,KOUNGHEUL,IDA MOURIDE,NDOUNE,02,499,SALLE DE CLASSE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,NGOUYE SIVAKH,01,142,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,PIRE NANGO,01,509,ECOLE SALLE 1
KAFFRINE,KOUNGHEUL,IDA MOURIDE,PIRE NANGO,02,99,ECOLE SALLE 2
KAFFRINE,KOUNGHEUL,IDA MOURIDE,PIRE NDAVENE,01,411,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,SIBINOKHO,01,147,ABRI PROVISOIRE
KAFFRINE,KOUNGHEUL,IDA MOURIDE,TOUBA GOUYE,01,308,ABRI PROVISOIRE
