Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,01,601,CLASSE CM2
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,02,599,CLASSE CE1B
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,03,595,CLASSE CM1
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,04,598,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,05,587,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,06,508,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,07,508,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,01,600,BLOC A SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,02,600,BOLC B SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,03,600,BLOC C SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,04,600,BLOC D SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,05,600,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,06,600,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,07,390,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,CEM KEUR MBAYE FALL,08,314,SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,01,593,CLASSE CM2A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,02,595,CLASSE CM2 B
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,03,594,CLASSE CM1A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,04,594,CLASSE CM1B
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,05,594,CLASSE CE2A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,06,593,CLASSE CE2B
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,07,592,CLASSE CE1B
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,08,594,CLASSE CE1A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,09,594,CLASSE CPB
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,10,596,CLASSE CP A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,11,592,CLASSE CI B
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,12,596,CLASSE CI A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,13,593,ECOLE K.MB. FALL 2 CLASSE CPA
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,14,596,ECOLE K.MB. FALL 2 CLASSE CPB
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,15,591,ECOLE K.MB .FALL2 CLASSE CE2 A
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,16,595,ECOLE K.MB FALL 2 CLASSE CI
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,17,598,ECOLE K.MB. FALL 2 CLASSE CE1
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,18,592,ECOLE K.MB. FALL2 SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,19,596,ECOLE K.MB. FALL2 SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,20,597,ECOLE K.MB. FALL2 SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,21,597,ECOLE K.MB. FALL2 SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,22,597,ECOLE K.MB. FALL2 SALLE DE CLASSE
DAKAR,PIKINE,MBAO,ECOLE KEUR MBAYE FALL,23,598,ECOLE K.MB. FALL2 SALLE DE CLASSE
