Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),02,497,CLASSE CPA
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),03,491,CLASSE CE1A
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),04,501,CLASSE CI A
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,01,432,CLASSE CIA
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,02,431,CLASSE CPA
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,03,430,CLASSE CE2B
DAKAR,RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,04,432,CLASSE CM1B
