Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,LYCEE ZONE DE RECASEMENT,07,585,SALLE B2
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,LYCEE ZONE DE RECASEMENT,08,580,SALLE B3
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,LYCEE ZONE DE RECASEMENT,09,589,SALLE B4
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,LYCEE ZONE DE RECASEMENT,10,579,SALLE B5
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,LYCEE ZONE DE RECASEMENT,11,196,SALLE 6
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,PARCELLES ASSAINIES UNITE 2,01,467,ECOLE PA U5 SALLE 1
DAKAR,KEUR MASSAR,KEUR MASSAR NORD,PARCELLES ASSAINIES UNITE 2,02,467,ECOLE PA U5 SALLE 2
