Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DIOURBEL,MBACKE,DALLA NGABOU,BAITY PALENE,01,419,ABRI PROVISOIRE
DIOURBEL,MBACKE,DALLA NGABOU,DAGA DIOUF 1,01,264,ABRI PROVISOIRE
DIOURBEL,MBACKE,DALLA NGABOU,DALLA,01,443,CLASSE CE1
DIOURBEL,MBACKE,DALLA NGABOU,DALLA,02,446,ECOLE ELEMENTAIRE
DIOURBEL,MBACKE,DALLA NGABOU,DEUYE SANGOU,01,366,CLASSE CP
DIOURBEL,MBACKE,DALLA NGABOU,DIGANE,01,310,ABRI PROVISOIRE
DIOURBEL,MBACKE,DALLA NGABOU,KHOUROU MBACKE,01,259,ABRI PROVISOIRE
DIOURBEL,MBACKE,DALLA NGABOU,NGABOU 3,01,587,CLASSE CP
DIOURBEL,MBACKE,DALLA NGABOU,NGABOU 3,02,586,CLASSE CE1
DIOURBEL,MBACKE,DALLA NGABOU,THIENTHIE 3,01,452,ABRI PROVISOIRE
