Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,01,594,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,02,595,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,03,593,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,04,595,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,05,596,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,06,594,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,07,598,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,08,596,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,09,598,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,10,596,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,11,595,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,12,596,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,13,597,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,14,596,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,15,596,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,16,598,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,17,599,ECOLE APIX
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,01,575,CLASSE CM2 A
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,02,570,CLASSE CM2 B
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,03,574,CLASSE CM1 A
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,04,579,CLASSE CM1B
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,05,579,CLASSE CE2 A
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,06,580,CLASSE CE2 B
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,07,573,CLASSE CE1 B
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,08,590,CLASSE CE1 A
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,09,584,CLASSE CP B
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,10,573,CLASSE CP A
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,11,585,CLASSE CI A
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,12,571,ABRI PROVISOIRE
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,13,570,ABRI PROVISOIRE
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,14,580,ABRI PROVISOIRE
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,15,566,ABRI PROVISOIRE
DAKAR,PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,16,573,ABRI PROVISOIRE
DAKAR,PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,01,575,SALLE 1
DAKAR,PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,02,567,SALLE 2
DAKAR,PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,03,575,SALLE 3
DAKAR,PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,04,569,CENTRE DEVEIL COMMUNAUTAIRE
DAKAR,PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,05,572,MAISON DES DELEGUES
