Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,BOUDIEDIETE,01,242,ABRI PROVISOIRE
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,DJIRACK,01,544,ABRI PROVISOIRE
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,EFFOC,01,412,CLASSE CM2A
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,EFFOC,02,413,ECOLE ELEM. CLASSE CM1
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,ESSAOUT,01,533,CLASSE CM2A
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,YOUTOU,01,538,CLASSE CM2A
ZIGUINCHOR,OUSSOUYE,SANTHIABA MANJAQUE,YOUTOU,02,540,ECOLE ELEM. CLASSE CM1
