Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
THIES,THIES,DIENDER GUEDJI,BAYAKH,01,562,CLASSE CI
THIES,THIES,DIENDER GUEDJI,BAYAKH,02,562,CLASSE CP
THIES,THIES,DIENDER GUEDJI,BAYAKH,03,562,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,BAYAKH,04,563,CLASSE CE2
THIES,THIES,DIENDER GUEDJI,BAYAKH,05,565,SALLE DE CLASSE
THIES,THIES,DIENDER GUEDJI,BEERTHIALANE,01,576,CLASSE CP
THIES,THIES,DIENDER GUEDJI,BEERTHIALANE,02,575,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,DAROU NDIAR,01,581,SALLE DE CLASSE
THIES,THIES,DIENDER GUEDJI,DAROU NDIAR,02,97,SALLE DE CLASSE
THIES,THIES,DIENDER GUEDJI,DIENDER,01,579,CLASSE CP
THIES,THIES,DIENDER GUEDJI,DIENDER,02,571,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,DIENDER,03,578,ECOLE SALLE DE CLASSE
THIES,THIES,DIENDER GUEDJI,DIENDER,04,198,ECOLE SALLE DE CLASSE
THIES,THIES,DIENDER GUEDJI,GOLLAM,01,352,CLASSE CP
THIES,THIES,DIENDER GUEDJI,GOLLAM,02,353,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,01,575,CLASSE CP
THIES,THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,02,579,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,03,577,CLASSE CE2
THIES,THIES,DIENDER GUEDJI,MBIDIEUM LEBOU,01,432,CLASSE CM1
THIES,THIES,DIENDER GUEDJI,MBIDIEUM LEBOU,02,433,SALLE DE CLASSE
THIES,THIES,DIENDER GUEDJI,MBISSAO,01,560,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,NDAME LO,01,550,CLASSE CP
THIES,THIES,DIENDER GUEDJI,NDIAR TIDIANE,01,473,CLASSE CP
THIES,THIES,DIENDER GUEDJI,NDIAR TIDIANE,02,472,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,NDIEUGUENE,01,598,CLASSE CP
THIES,THIES,DIENDER GUEDJI,SANTHIE DARA,01,373,CLASSE CM1
THIES,THIES,DIENDER GUEDJI,SANTHIE DARA,02,373,CLASSE CM2
THIES,THIES,DIENDER GUEDJI,SANTHIOU MAME GOR,01,279,ABRI PROVISOIRE
THIES,THIES,DIENDER GUEDJI,THIEUDEME,01,585,CLASSE CE1
THIES,THIES,DIENDER GUEDJI,THIEUDEME,02,590,CLASSE CI
